Company,ROC ,Incorporation_year,Industry_group_code,Industry_type,NIC_name,Main_product,NIC_code,decile,ISIN 
A C I Infocom Ltd.,11-175476,1982,1.0104E+14,1,Wholesale of computers and computer peripheral equipment,Wholesale trade in computer systems and peripherals,46511,Decile 7,INE167B01025
A D C India Communications Ltd.,Aug-13,1988,1.0104E+14,1,"Wholesale of electrical machinery, equipment and supplies, n.e.c.",Wholesale trade in wires & cables,46593,Decile 5,INE833A01016
A D F Foods Ltd.,04-14265,1990,1.01011E+14,1,"Other semi-processed, processed or instant foods n.e.c. except farinaceous products and malted foods and manufacturing activities like Manufacture of egg powder, sambar powder etc. (this excludes the activities covered under 10619)",Semi processed foods nec,10799,Decile 4,INE982B01019
A D S Diagnostic Ltd.,55-18486,1984,1.0104E+14,1,"Wholesale of scientific, medical and surgical machinery and equipment",Wholesale trade in medical equipments,46596,Decile 7,
A G C Networks Ltd.,11-40652,1986,1.01042E+14,1,Other non-specialised wholesale trade n.e.c.,Services,46909,Decile 3,INE676A01019
A G I Infra Ltd.,16-28466,2005,1.0106E+14,1,Construction of buildings carried out on own-account basis or on a fee or contract basis,Real estate,41001,Decile 5,INE976R01017
A I A Engineering Ltd.,04-15182,1991,1.01014E+14,1,Manufacture of other iron and steel casting and products thereof,Castings,24319,Decile 1,INE212H01026
A I Champdany Inds. Ltd.,21-2767,1917,1.01012E+14,1,"Finishing of jute, mesta and other vegetable textiles fabrics",Jute textiles,13135,Decile 3,INE768E01024
A Infrastructure Ltd.,17-2077,1980,1.01013E+14,1,Manufacture of asbestos sheets,Corrugated asbestos sheets,23953,Decile 4,INE534E01020
A K G Exim Ltd.,55-139045,2005,1.0104E+14,1,Wholesale of cereals & pulses,Wholesale trade in foodgrains,46201,Decile 5,INE00Y801016
A K I India Ltd.,20-16467,1994,1.01013E+14,1,Manufacture of saddlery and harness,Saddlery & harness,15123,Decile 6,INE642Z01018
A K M Lace & Embrotex Ltd.,55-196375,2009,1.0104E+14,1,"Wholesale of textiles, fabrics, yarn, household linen, articles of clothing, floor coverings and tapestry, sports clothes",Wholesale trade in textiles & apparels,46411,Decile 9,INE777X01017
A K Spintex Ltd.,17-8916,1994,1.01012E+14,1,"Weaving, manufacturing of man-made fiber and man-made mixture fabrics.",Fabrics of man-made yarn,13124,Decile 6,INE671K01019
A M D Industries Ltd.,55-17141,1983,1.01012E+14,1,Manufacture of plastics products,Plastic products,222,Decile 3,INE005I01014
A M J Land Holdings Ltd.,11-13058,1964,1.0106E+14,1,Construction of buildings carried out on own-account basis or on a fee or contract basis,Real estate,41001,Decile 4,INE606A01024
A M L Steel Ltd.,18-24842,1993,1.01014E+14,1,Manufacture of hot-rolled and cold-rolled products of steel,Finished Steel (Non-Alloy Steel),24105,Decile 3,INE577F01018
A N G Industries Ltd.,55-45084,1991,1.01015E+14,1,"Manufacture of diverse parts and accessories for motor vehicles such as brakes, gearboxes, axles, road wheels, suspension shock absorbers, radiators, silencers, exhaust pipes, catalysers, clutches, steering wheels, steering columns and steering boxes etc.",Suspension & braking parts,29301,Decile 4,INE017D01010
A N G Lifesciences India Ltd.,16-30341,2006,1.01012E+14,1,"Manufacture of pharmaceuticals, medicinal chemical and botanical products","Drugs, medicines & allied products",2100,Decile 6,INE236W01016
A N S Inds. Ltd.,05-32362,1994,1.01011E+14,1,Processing and preserving of fruit and vegetables,"Vegetable, fruit & nut products",1030,Decile 7,INE234J01018
A P L Apollo Tubes Ltd.,55-23443,1986,1.01014E+14,1,"Manufacture of tubes, pipes and hollow profiles and of tube or pipe fittings of cast-iron/cast-steel",Tubes & pipes,24311,Decile 1,INE702C01019
A P M Industries Ltd.,17-15819,1973,1.01012E+14,1,Preparation and spinning of man-made fiber including blended* man-made fiber,Blended yarn of man-made fibres,13114,Decile 3,INE170D01025
A P T Packaging Ltd.,11-22746,1980,1.01012E+14,1,Manufacture of other plastics products n.e.c.,"Tubes, pipes & hoses of poly vinyl chloride",22209,Decile 6,INE046E01017
A R S S Infrastructure Projects Ltd.,15-6230,2000,1.0106E+14,1,"Construction and maintenance of motorways, streets, roads, other vehicular and pedestrian ways, highways, bridges, tunnels and subways","Construction of roads, bridges, tunnels etc.",42101,Decile 1,INE267I01010
A S I Industries Ltd.,11-256122,1945,1.0102E+14,1,"Operation of sand or gravel pits, basalt / porphyry, clay (ordinary), crushing and breaking of stone for use as a flux or raw material in lime or cement, manufacture or as building material, road metal or ballast and other materials for construction","Stones, nec",8106,Decile 3,INE443A01030
A S L Industries Ltd.,21-99901,1992,1.01015E+14,1,Manufacture of parts and accessories for motor vehicles,Automobile ancillaries,2930,Decile 5,INE617I01024
A S M Technologies Ltd.,08-13421,1992,1.01041E+14,1,Providing software support and maintenance to the clients,Software services,62013,Decile 5,INE867C01010
A T N International Ltd.,21-80793,1983,1.01016E+14,1,Diversified,Diversified,34,Decile 8,INE803A01027
A T V Projects India Ltd.,11-42719,1987,1.0106E+14,1,Construction of utility projects n.e.c.,Construction of other industrial plants,42209,Decile 4,INE447A01015
A V G Logistics Ltd.,55-198327,2010,1.01041E+14,1,Other land transport services n.e.c,Transport & allied services,52219,Decile 4,INE680Z01018
A V I Polymers Ltd.,27-5233,1993,1.0104E+14,1,"Wholesale of industrial chemicals,",Wholesale trade in chemicals & chemical products,46691,Decile 8,INE897N01014
A V I Products India Ltd.,11-50913,1989,1.01041E+14,1,Other information service activities n.e.c.,Information technology enabled service/BPO,63999,Decile 9,INE316O01021
A V S L Industries Ltd.,55-121698,2003,1.0104E+14,1,Wholesale of cereals & pulses,Wholesale trade in foodgrains,46201,Decile 6,INE522V01011
A V T Natural Products Ltd.,18-12780,1986,1.01011E+14,1,"Gathering of lac, resins and rubber-like gums","Lac, gums, resins & other vegetable extracts",2302,Decile 3,INE488D01021
A Y M Syntex Ltd.,54-45,1983,1.01012E+14,1,"Manufacture of synthetic or artificial filament yarn,  tenacity yarn whether or not textured including high tenacity yarn",Partially oriented yarn (POY),20203,Decile 2,INE193B01039
A-1 Acid Ltd.,04-44011,2004,1.0104E+14,1,"Wholesale of industrial chemicals,",Wholesale trade in chemicals & chemical products,46691,Decile 5,INE911Z01017
Aadi Industries Ltd.,11-206053,1994,1.01012E+14,1,Manufacture of plastics products,Plastic products,222,Decile 8,INE563D01013
Aakash Exploration Services Ltd.,04-49792,2007,1.01042E+14,1,Other non-specialised wholesale trade n.e.c.,Services,46909,Decile 6,INE087Z01016
Aananda Lakshmi Spg. Mills Ltd.,62-86564,2013,1.01012E+14,1,Preparation and spinning of cotton fiber including blended* cotton,Cotton & blended yarn,13111,Decile 5,INE197R01010
Aanchal Ispat Ltd.,21-76866,1996,1.01014E+14,1,Manufacture of basic iron and steel,Iron & steel,2410,Decile 4,INE322R01014
Aarcon Facilities Ltd.,04-19057,1993,1.01042E+14,1,"Motion picture or video tape projection in cinemas, in the open air or in other projection facilities",Motion picture exhibition,59141,Decile 9,INE056J01015
Aarey Drugs & Pharmaceuticals Ltd.,11-56538,1990,1.0104E+14,1,Wholesale of pharmaceutical and medical goods,"Wholesale trade in drugs, medicines & allied products",46497,Decile 4,INE198H01019
Aaron Industries Ltd.,04-77306,2013,1.01014E+14,1,Manufacture of electronic components,Electronics,2610,Decile 9,INE721Z01010
Aarti Drugs Ltd.,11-55433,1984,1.01012E+14,1,"Manufacture of pharmaceuticals, medicinal chemical and botanical products","Drugs, medicines & allied products",2100,Decile 1,INE767A01016
Aarti Industries Ltd.,Apr-01,1984,1.01012E+14,1,"Manufacture  of  various  other  chemical  products  n.e.c.(antiknock preparations, anti-freeze preparations, liquids for hydraulic transmission, composite diagnostic or laboratory reagents, writing or drawing ink, chemical substance used in manufacturing of pesticides and other chemical products)","Chemical & chemical products, nec",20299,Decile 1,INE769A01020
Aarvee Denims & Exports Ltd.,04-10504,1988,1.01012E+14,1,Weaving of textiles,Denim,1312,Decile 2,INE273D01019
Aarvi Encon Ltd.,11-45499,1987,1.01042E+14,1,Activities of employment placement agencies,Placement & HR consultancy service,78100,Decile 5,INE754X01016
Aaswa Trading & Exports Ltd.,04-24704,1984,1.0104E+14,1,"Wholesale of textiles, fabrics, yarn, household linen, articles of clothing, floor coverings and tapestry, sports clothes",Wholesale trade in textiles & apparels,46411,Decile 8,INE887D01016
Aayush Food & Herbs Ltd.,55-18307,1984,1.0104E+14,1,Wholesale of cereals & pulses,Wholesale trade in foodgrains,46201,Decile 9,INE430R01015
Aban Offshore Ltd.,18-13473,1986,1.0106E+14,1,"Site preparation including drilling, boring and core sampling for construction, geophysical, geological or similar purposes",Offshore drilling,43122,Decile 1,INE421A01028
Abans Enterprises Ltd.,11-35243,1985,1.0104E+14,1,Whole sale of other agriculture raw materials n.e.c.,Wholesale trade in non-grain food crops,46209,Decile 7,INE365O01010
Abbott India Ltd.,Nov-30,1944,1.01012E+14,1,Manufacture of allopathic pharmaceutical preparations,Drug formulations,21002,Decile 1,INE358A01014
Abhishek Corporation Ltd.,60-73706,1993,1.01042E+14,1,Other non-specialised wholesale trade n.e.c.,Services,46909,Decile 4,INE004I01017
Abhishek Infraventures Ltd.,62-111447,1984,1.0106E+14,1,Other civil engineering projects n.e.c.,Construction,42909,Decile 8,INE281P01016
Accelya Kale Solutions Ltd.,60-41033,1986,1.01041E+14,1,Providing software support and maintenance to the clients,Software services,62013,Decile 3,INE793A01012
Accord Synergy Ltd.,04-79847,2014,1.0106E+14,1,"Construction/erection and maintenance of power, telecommunication and transmission lines",Construction of transmission lines,42202,Decile 6,INE113X01015
Accuracy Shipping Ltd.,04-55322,2008,1.01041E+14,1,Cargo handling incidental to water transport,"Cargo handling, incidental to water transport",52242,Decile 4,INE648Z01015
Ace Integrated Solutions Ltd.,55-88373,1997,1.01042E+14,1,Activities of employment placement agencies,Placement & HR consultancy service,78100,Decile 7,INE543V01017
Ace Men Engg. Works Ltd.,04-100420,1980,1.0104E+14,1,"Wholesale of textiles, fabrics, yarn, household linen, articles of clothing, floor coverings and tapestry, sports clothes",Wholesale trade in textiles & apparels,46411,Decile 9,INE023R01018
Ace Software Exports Ltd.,04-22781,1994,1.01041E+14,1,Providing software support and maintenance to the clients,Software services,62013,Decile 7,INE849B01010
Acil Cotton Inds. Ltd.,04-22000,1994,1.0104E+14,1,"Wholesale of textiles, fabrics, yarn, household linen, articles of clothing, floor coverings and tapestry, sports clothes",Wholesale trade in cotton & cotton textiles,46411,Decile 7,INE066C01035
Acknit Industries Ltd.,21-50020,1990,1.01012E+14,1,Manufacture of other knitted and crocheted apparel including hosiery,"Gloves, mittens, etc. knitted or crocheted",14309,Decile 4,INE326C01017
Acrysil Ltd.,11-42283,1987,1.01013E+14,1,"Manufacture of non-refractory ceramic sanitary wares: sinks, baths, water- closet pans, flushing cistern etc.","Ceramic sinks, wash basins, etc.",23922,Decile 4,INE482D01016
Action Construction Equipment Ltd.,05-53860,1995,1.01014E+14,1,Manufacture of other lifting and handling equipment and parts thereof,Mobile cranes,28162,Decile 2,INE731H01025
Active Clothing Co. Ltd.,16-33422,2002,1.01012E+14,1,"Manufacture of wearing apparel, except fur apparel",Apparels (Readymade garment),1410,Decile 5,INE380Z01015
Adani Enterprises Ltd.,04-19067,1993,1.0104E+14,1,"Wholesale of solid, liquid and gaseous fuels and related products","Wholesale trade in coal,lignite and peat",46610,Decile 1,INE423A01024
Adani Green Energy Ltd.,04-82007,2015,1.0106E+14,1,Construction of utility projects n.e.c.,Construction of industrial plants,42209,Decile 2,INE364U01010
Adani Ports & Special Economic Zone Ltd.,04-34182,1998,1.01041E+14,1,Service activities incidental to water transportation,Ports,52220,Decile 1,INE742F01042
Adani Power Ltd.,04-30533,1996,1.0103E+14,1,"Electric power generation by non-coal based thermal (e.g. diesel, gas )",Thermal electricity,35103,Decile 1,INE814H01011
Adani Transmission Ltd.,04-77803,2013,1.0104E+14,1,"Wholesale of edible oils, fats, sugar and processed/manufactured spices etc.",Wholesale trade in vegetable oils,46305,Decile 1,INE931S01010
Adarsh Mercantile Ltd.,21-55082,1992,1.0104E+14,1,Whole sale of other agriculture raw materials n.e.c.,Wholesale trade in non-food agricultural crops,46209,Decile 8,INE673E01018
Adarsh Plant Protect Ltd.,04-17845,1992,1.01014E+14,1,Manufacture of other containers n.e.c.,Galvanised iron drums & barrels,25129,Decile 7,INE627D01016
Add-Shop Promotions Ltd.,04-76482,2013,1.0104E+14,1,Wholesale of pharmaceutical and medical goods,"Wholesale trade in drugs, medicines & allied products",46497,Decile 9,INE01B501018
Adhbhut Infrastructure Ltd.,55-20195,1985,1.01042E+14,1,Rental and leasing activities,Renting services,77,Decile 6,INE578L01014
Adhiraj Distributors Ltd.,21-158320,2011,1.0104E+14,1,"Wholesale of textiles, fabrics, yarn, household linen, articles of clothing, floor coverings and tapestry, sports clothes",Wholesale trade in textiles & apparels,46411,Decile 7,INE067R01015
Adhunik Industries Ltd.,21-32200,1979,1.01014E+14,1,Manufacture of hot-rolled and cold-rolled products of steel,Bars & rods,24105,Decile 3,INE452L01012
Adhunik Metaliks Ltd.,15-17271,2001,1.01014E+14,1,Manufacture of basic iron and steel,Iron & steel,2410,Decile 1,INE400H01019
Adi Rasayan Ltd.,04-18572,1992,1.0104E+14,1,"Wholesale of industrial chemicals,",Wholesale trade in chemicals & chemical products,46691,Decile 10,INE861N01028
Adinath Textiles Ltd.,16-3910,1979,1.01016E+14,1,Diversified,Diversified,34,Decile 8,INE207C01019
Aditri Industries Ltd.,04-25177,1995,1.0104E+14,1,"Wholesale of textiles, fabrics, yarn, household linen, articles of clothing, floor coverings and tapestry, sports clothes",Wholesale trade in textiles & apparels,46411,Decile 6,INE636N01016
Aditya Birla Fashion & Retail Ltd.,11-233901,2007,1.0104E+14,1,"Retail sale of readymade garments, hosiery goods, other articles of clothing and clothing accessories such as gloves, ties, braces etc.",Retail trade in apparels (readymade garments),47711,Decile 1,INE647O01011
Aditya Consumer Mktg. Ltd.,Mar-72,2002,1.0104E+14,1,Retail sale in non-specialized stores,Retail trade,471,Decile 6,INE427V01013
Aditya Forge Ltd.,04-17196,1992,1.01014E+14,1,Manufacture of other fabricated metal products n.e.c.,"Miscellaneous articles of metals, nec",25999,Decile 8,INE281H01013
Aditya Ispat Ltd.,62-12099,1990,1.01014E+14,1,Manufacture of hot-rolled and cold-rolled products of steel,Bars & rods,24105,Decile 6,INE570B01012
Aditya Spinners Ltd.,01-12337,1991,1.01012E+14,1,Preparation and spinning of cotton fiber including blended* cotton,Cotton & blended yarn,13111,Decile 6,INE122D01026
Aditya Vision Ltd.,Mar-83,,1.0104E+14,1,"Retail sale of other household appliances n.e.c. ( security systems, such as locking devices, safes, and vaults, without installation or maintenance services etc. , wooden, cork and wickerwork goods, sewing and knitting machine and other household utensils and durables n.e.c.)",Retail trade in domestic appliances,47599,Decile 4,INE679V01019
Adlabs Entertainment Ltd.,11-199925,2010,1.01042E+14,1,Other amusement and recreation activities n.e.c.,Amusement centres etc,93290,Decile 2,INE172N01012
Ador Fontech Ltd.,08-20010,1974,1.01014E+14,1,Manufacture of other electrical equipment,Welding machinery,27900,Decile 4,INE853A01022
Ador Multiproducts Ltd.,11-310253,1948,1.01013E+14,1,Manufacture of other perfumes and toilet preparations n.e.c.,"Cosmetics, toilet preparations, soap & washing preparations",20239,Decile 8,INE628D01014
Ador Welding Ltd.,Nov-47,1951,1.01014E+14,1,Manufacture of other electrical equipment,Welding electrodes / sticks / wires / fluxes,27900,Decile 2,INE045A01017
Adroit Infotech Ltd.,62-11129,1990,1.01041E+14,1,Providing software support and maintenance to the clients,Information technology,62013,Decile 7,INE737B01033
Advance Metering Technology Ltd.,55-271394,2011,1.01015E+14,1,"Manufacture of consumption meters for electricity, water or gas, flow meters and counting meters",Meters electricity,26513,Decile 4,INE436N01029
Advance Multitech Ltd.,Apr-98,1979,1.01012E+14,1,Manufacture of other rubber products n.e.c.,Rubber blankets,22199,Decile 7,INE875S01019
Advance Petrochemicals Ltd.,Apr-13,1985,1.01012E+14,1,Manufacture of Chemicals and Chemical products,Chemicals & chemical products,20,Decile 7,INE334N01018
Advance Powerinfra Tech Ltd.,21-65726,1994,1.0104E+14,1,Other non-specialised wholesale trade n.e.c.,Wholesale trade in miscellaneous manufactured articles,46909,Decile 7,INE009D01017
Advance Syntex Ltd.,04-14406,1990,1.01012E+14,1,Manufacture of other plastics products n.e.c.,Flexible packaging materials,22209,Decile 5,INE184U01012
Advanced Enzyme Technologies Ltd.,11-51018,1989,1.01012E+14,1,"Manufacture of gelatine and its derivatives, resinoids, glues, prepared adhesives, including rubber-based glues and adhesives",Enzymes,20295,Decile 4,INE837H01020
Advanced Micronic Devices Ltd.,08-15445,1980,1.0104E+14,1,Wholesale of computers and computer peripheral equipment,Wholesale trade in computer systems and peripherals,46511,Decile 7,INE903C01013
Advani Hotels & Resorts (India) Ltd.,11-42891,1987,1.0104E+14,1,"Hotels and Motels, inns, resorts providing short term lodging facilities; includes accommodation in house boats","Hotels, resorts & restaurants",55101,Decile 5,INE199C01026
Advent Computer Services Ltd.,18-10675,1984,1.01041E+14,1,Providing software support and maintenance to the clients,Software services,62013,Decile 7,INE101C01022
Advik Laboratories Ltd.,05-38300,1994,1.01012E+14,1,Manufacture of allopathic pharmaceutical preparations,Drug formulations,21002,Decile 7,INE537C01019
Advitiya Trade India Ltd.,55-314879,2017,1.0104E+14,1,Other non-specialised wholesale trade n.e.c.,Wholesale trade in miscellaneous manufactured articles,46909,Decile 10,INE705X01018
Aegis Logistics Ltd.,04-1032,1956,1.01042E+14,1,"Storage and warehousing n.e.c.[Includes general merchandise warehouses and warehousing of furniture, automobiles, gas and oil, chemicals, textiles etc. Also included is storage of goods in foreign trade zones]",LPG storage & distribution,52109,Decile 2,INE208C01025
Affordable Robotic & Automation Ltd.,60-135298,2010,1.01014E+14,1,Manufacture of other electrical equipment,Automatic spot welding machines,27900,Decile 6,INE692Z01013
Agarwal Industrial Corpn. Ltd.,11-84618,1995,1.01012E+14,1,"Manufacture of other petroleum n.e.c. (includes Manufacture of petroleum jelly, micro-crystalline petroleum wax, slack wax, ozokerite, lignite wax, petroleum coke, petroleum bitumen and other residues of petroleum oils or of oils obtained from bituminous minerals)",Bitumen & asphalt,19209,Decile 4,INE204E01012
Agrimony Commodities Ltd.,11-62821,1991,1.0104E+14,1,Wholesale of cereals & pulses,Wholesale trade in foodgrains,46201,Decile 6,INE567P01018
Agro Phos (India) Ltd.,10-15285,2002,1.01012E+14,1,Manufacture of fertilizers and nitrogen compounds,Fertilisers,2012,Decile 5,INE740V01019
Agro Tech Foods Ltd.,62-6957,1986,1.01011E+14,1,Manufacture of vegetable oils and fats excluding corn oil,Edible oils,10402,Decile 2,INE209A01019
Ahimsa Industries Ltd.,04-28679,1996,1.01012E+14,1,"Weaving, Manufacture of cotton and cotton mixture fabrics.",Cotton fabrics,13121,Decile 6,INE136T01014
Ahlada Engineers Ltd.,62-47102,2005,1.01014E+14,1,"Manufacture of doors, windows and their frames, shutters and rolling shutters, gates and similer articles used on buildings","Other structurals (Steel windows, doors, frames)",25111,Decile 5,INE00PV01013
Ahluwalia Contracts (India) Ltd.,55-9654,1979,1.0106E+14,1,Construction of utility projects n.e.c.,Construction of other industrial plants,42209,Decile 1,INE758C01029
Ahmedabad Steelcraft Ltd.,04-11500,1972,1.0104E+14,1,Wholesale of metals and metal ores,Wholesale trade in semi-finished steel (ingots & billets),46620,Decile 7,INE868C01018
Aikyam Intellectual Property Consultancy Ltd.,10-1447,1978,1.01012E+14,1,"Manufacture of semi-finished of plastic products (plastic plates, sheets, blocks, film, foil, strip etc.)",Biaxially oriented polypropylene (BOPP) film,22201,Decile 10,INE739N01026
Aimco Pesticides Ltd.,11-44362,1987,1.01012E+14,1,Manufacture of pesticides and other agrochemical products,Pesticides,2021,Decile 5,INE008B01013
Airan Ltd.,04-25519,1995,1.01042E+14,1,Data processing activities including report writing,Database services,63111,Decile 6,INE645W01026
Airo Lam Ltd.,04-52019,2007,1.01015E+14,1,Manufacture of paper pulp articles other than containers (such as egg trays),"Other paper, paperboard products",17094,Decile 5,INE801L01010
Aishwarya Technologies & Telecom Ltd.,62-20569,1995,1.0104E+14,1,"Wholesale of electrical machinery, equipment and supplies, n.e.c.",Wholesale trade in electrical machinery other than electronics,46593,Decile 5,INE778I01024
Ajanta Pharma Ltd.,11-22059,1979,1.01012E+14,1,Manufacture of allopathic pharmaceutical preparations,Drug formulations,21002,Decile 1,INE031B01049
Ajanta Soya Ltd.,17-16617,1992,1.01011E+14,1,Manufacture of hydrogenated oil and vanaspati ghee,Vanaspati,10401,Decile 3,INE601B01015
Ajel Ltd.,11-76637,1994,1.01041E+14,1,Providing software support and maintenance to the clients,Information technology,62013,Decile 7,INE229B01015
Ajmera Realty & Infra India Ltd.,11-35659,1985,1.0106E+14,1,Construction of buildings carried out on own-account basis or on a fee or contract basis,Real estate,41001,Decile 2,INE298G01027
Ajooni Biotech Ltd.,16-40162,2010,1.01012E+14,1,"Manufacture of medical impregnated wadding, gauze, bandages, dressings, surgical gut string etc.",Veterinary medicaments,21006,Decile 7,INE820Y01013
Ajwa Fun World & Resort Ltd.,04-18294,1992,1.01042E+14,1,Other amusement and recreation activities n.e.c.,Amusement centres etc,93290,Decile 8,INE863E01015
Akar Auto Inds. Ltd.,11-52305,1989,1.01014E+14,1,"Manufacture of machine tools for turning, drilling, milling, shaping, planning, boring, grinding etc.",Machine tools,28221,Decile 4,INE864E01021
Akar Laminators Ltd.,04-12415,1989,1.0104E+14,1,Other non-specialised wholesale trade n.e.c.,Wholesale trade in plastic products,46909,Decile 3,INE984C01013
Akash Infra-Projects Ltd.,04-36003,1999,1.0106E+14,1,Other civil engineering projects n.e.c.,Infrastructure construction,42909,Decile 5,INE737W01013
Aksh Optifibre Ltd.,17-16132,1986,1.01014E+14,1,Manufacture of fibre optic cables for data transmission or live transmission of images,Fibre optic cables,27310,Decile 2,INE523B01011
Akshar Spintex Ltd.,04-75677,2013,1.01012E+14,1,Preparation and spinning of cotton fiber including blended* cotton,Cotton yarn,13111,Decile 5,INE256Z01017
Aksharchem (India) Ltd.,04-12441,1989,1.01012E+14,1,Manufacture of dyes and pigments from any source in basic form or as concentrate,Dyes,20114,Decile 4,INE542B01011
Akzo Nobel India Ltd.,21-21516,1954,1.01013E+14,1,"Manufacture of paints and varnishes, enamels or lacquers",Decorative paints,20221,Decile 1,INE133A01011
Alan Scott Inds. Ltd.,11-76732,1994,1.01012E+14,1,"Weaving, Manufacture of cotton and cotton mixture fabrics.",Cotton fabrics,13121,Decile 10,INE273F01022
Alang Industrial Gases Ltd.,04-25266,1995,1.0104E+14,1,Other non-specialised wholesale trade n.e.c.,Wholesale trade in miscellaneous manufactured articles,46909,Decile 9,INE848C01010
Alang Marine Ltd.,Apr-40,1987,1.01042E+14,1,Rental and leasing activities,Renting services,77,Decile 9,INE390101017
Alankit Ltd.,55-36860,1989,1.01042E+14,1,Data processing activities including report writing,Database services,63111,Decile 6,INE914E01040
Albert David Ltd.,21-9490,1938,1.01012E+14,1,Manufacture of allopathic pharmaceutical preparations,Drug formulations,21002,Decile 3,INE155C01010
Alchemist Corporation Ltd.,55-55768,1993,1.0104E+14,1,Other non-specialised wholesale trade n.e.c.,Wholesale trade in miscellaneous manufactured articles,46909,Decile 7,INE057D01016
Alchemist Ltd.,55-192643,1988,1.0104E+14,1,"Other retail sale of new goods in specialized stores n.e.c (weapons and ammunition, non food products)",Retail trade in miscellaneous manufactured articles,47739,Decile 2,INE964B01033
Alchemist Realty Ltd.,55-334800,1983,1.0106E+14,1,Construction of buildings carried out on own-account basis or on a fee or contract basis,Real estate,41001,Decile 4,INE646D01024
Alembic Ltd.,Apr-33,1907,1.01016E+14,1,Diversified,Diversified,34,Decile 3,INE426A01027
