Company Name,ROC registration number,Incorporation year,Industry group code,Industry type,NIC name,Main product/service group,NIC code,Size decile,ISIN code
Assam Company India Ltd.,02-1685,1977,1.01011E+14,1,Processing and blending of tea including Manufacture of instant tea,"Tea, processed",10791,Decile 2,INE442A01024
Astra Microwave Products Ltd.,62-13203,1991,1.01014E+14,1,Manufacture of other electronic components n.e.c,Microwave passive components,26109,Decile 2,INE386C01029
Astrazeneca Pharma India Ltd.,Aug-63,1979,1.0104E+14,1,Wholesale of pharmaceutical and medical goods,"Wholesale trade in drugs, medicines & allied products",46497,Decile 2,INE203A01020
Atlanta Ltd.,11-31852,1984,1.0106E+14,1,"Construction and maintenance of motorways, streets, roads, other vehicular and pedestrian ways, highways, bridges, tunnels and subways","Construction of roads, bridges, tunnels etc.",42101,Decile 2,INE285H01022
Atlas Cycles (Haryana) Ltd.,05-1614,1950,1.01015E+14,1,"Manufacture of non-motorized bicycles and other cycles, including cycle- rickshaws, (delivery) tricycles, tandems, children's bicycles and tricycles, baby carriages",Bicycles,30921,Decile 2,INE446A01025
Autoline Industries Ltd.,60-104510,1996,1.01015E+14,1,Manufacture of other attachments to motor vehicles n.e.c.,Auto sheet metals parts,29209,Decile 2,INE718H01014
Automotive Axles Ltd.,Aug-98,1981,1.01015E+14,1,"Manufacture of diverse parts and accessories for motor vehicles such as brakes, gearboxes, axles, road wheels, suspension shock absorbers, radiators, silencers, exhaust pipes, catalysers, clutches, steering wheels, steering columns and steering boxes etc.",Axle shafts,29301,Decile 2,INE449A01011
B C L Industries Ltd.,16-3624,1976,1.01011E+14,1,"Manufacture  of  oil  cakes  &  meals  incl.  residual  products,  e.g. Oleostearin,Palmstearin",Soyabean oil cake,10406,Decile 2,INE412G01016
Bajaj Corp Ltd.,17-47173,2006,1.01013E+14,1,"Manufacture of hair oil, shampoo, hair dye etc. (includes Manufacture of shampoos, hair sprays, hair fixers, hair oils, hair creams, hair dyes and bleaches and preparations for permanent waving or straightening of the hair etc.)",Hair oil,20236,Decile 2,INE933K01021
Balaji Amines Ltd.,11-49387,1988,1.01012E+14,1,Manufacture of organic and inorganic chemical compounds n.e.c.,Other amine function compounds,20119,Decile 2,INE050E01027
Balaji Telefilms Ltd.,11-82802,1994,1.01042E+14,1,Production of television programmes or television commercials,Entertainment content provider,59113,Decile 2,INE794B01026
Banco Products (India) Ltd.,04-1039,1961,1.01015E+14,1,"Manufacture of diverse parts and accessories for motor vehicles such as brakes, gearboxes, axles, road wheels, suspension shock absorbers, radiators, silencers, exhaust pipes, catalysers, clutches, steering wheels, steering columns and steering boxes etc.",Radiators,29301,Decile 2,INE213C01025
Bannari Amman Spg. Mills Ltd.,61-2476,1989,1.01012E+14,1,"Weaving, Manufacture of cotton and cotton mixture fabrics.",Cotton fabrics,13121,Decile 2,INE186H01014
Bartronics India Ltd.,01-11721,1990,1.01041E+14,1,Providing software support and maintenance to the clients,Software services,62013,Decile 2,INE855F01034
Bedmutha Industries Ltd.,11-57863,1990,1.01014E+14,1,Manufacture of basic metals,Metals & metal products,24,Decile 2,INE844K01012
Beekay Steel Inds. Ltd.,21-33490,1981,1.01014E+14,1,Manufacture of hot-rolled and cold-rolled products of steel,Bars & rods,24105,Decile 2,INE213D01015
Bhansali Engineering Polymers Ltd.,11-32637,1984,1.01012E+14,1,"Manufacture of plastic in primary forms (includes amino-resins, polyurethanes etc.)",Acrylonitrile butadiene styrene,20131,Decile 2,INE922A01025
Bharat Bijlee Ltd.,Nov-17,1946,1.01014E+14,1,"Manufacture of electric power distribution transformers, arc-welding transformers, fluorescent ballasts, transmission and distribution voltage regulators",Transformers,27102,Decile 2,INE464A01028
Bharat Rasayan Ltd.,55-36264,1989,1.01012E+14,1,"Manufacture of insecticides, rodenticides, fungicides, herbicides",Fenvalerate,20211,Decile 2,INE838B01013
Bharat Seats Ltd.,55-23540,1986,1.01015E+14,1,Manufacture of car seats,Auto seating systems,29303,Decile 2,INE415D01024
Bhartiya International Ltd.,18-111744,1987,1.01013E+14,1,Manufacture of wearing apparel made of leather and substitutes of leather,Leather apparel & clothing accessories,14104,Decile 2,INE828A01016
Bhilai Engineering Corpn. Ltd.,26-913,1960,1.01014E+14,1,"Manufacture of industrial frameworks in metal (frameworks for blast furnaces, lifting and handling equipment etc.)","Medium structurals (Scaffolding, shuttering, etc.)",25113,Decile 2,INE029501017
Binny Ltd.,18-5736,1969,1.0106E+14,1,Construction of buildings carried out on own-account basis or on a fee or contract basis,Real estate,41001,Decile 2,INE118K01011
Bliss G V S Pharma Ltd.,11-34771,1984,1.01012E+14,1,"Manufacture of pharmaceuticals, medicinal chemical and botanical products","Drugs, medicines & allied products",2100,Decile 2,INE416D01022
Bodal Chemicals Ltd.,Apr-03,1986,1.01012E+14,1,Manufacture of organic and inorganic chemical compounds n.e.c.,H acid,20119,Decile 2,INE338D01028
Bombay Burmah Trdg. Corpn. Ltd.,11-Feb,1863,1.01016E+14,1,Diversified,Diversified manufacturing,34,Decile 2,INE050A01025
Borosil Glass Works Ltd.,11-12538,1962,1.0104E+14,1,"Wholesale of hardware and sanitary fittings and fixtures and flat glass including tools such as hammers, saws, screwdrivers and other hand tools",Wholesale trade in glass & glasswares,46633,Decile 2,INE666D01022
Brahmaputra Infrastructure Ltd.,55-95933,1998,1.0106E+14,1,Construction of utility projects n.e.c.,Construction of other industrial plants,42209,Decile 2,INE320I01017
Brightcom Group Ltd.,62-30996,1999,1.01041E+14,1,Providing software support and maintenance to the clients,Software services,62013,Decile 2,INE425B01027
Butterfly Gandhimathi Appliances Ltd.,18-12728,1986,1.01013E+14,1,"Manufacture of domestic non-electric cooking and heating equipment such as non-electric space heaters, cooking ranges, grates, stoves, water heaters, cooking appliances, plate warmers",Stoves,27504,Decile 2,INE295F01017
C C L Products (India) Ltd.,01-874,1961,1.01011E+14,1,"Coffee curing, roasting, grinding blending etc. and manufacturing of coffee products",Instant coffee,10792,Decile 2,INE421D01022
Capacit'E Infraprojects Ltd.,11-234318,2012,1.0106E+14,1,Other civil engineering projects n.e.c.,Infrastructure construction,42909,Decile 2,INE264T01014
Care Ratings Ltd.,11-71691,1993,1.01042E+14,1,Management consultancy activities,Business services & consultancy,70200,Decile 2,INE752H01013
Cera Sanitaryware Ltd.,04-34400,1998,1.0104E+14,1,"Wholesale of hardware and sanitary fittings and fixtures and flat glass including tools such as hammers, saws, screwdrivers and other hand tools",Wholesale trade in ceramic products,46633,Decile 2,INE739E01017
Classic Diamonds (India) Ltd.,11-41541,1986,1.02032E+14,2,Other credit granting,Other asset financing services,64920,Decile 2,INE987C01024
Competent Automobiles Co. Ltd.,55-20668,1985,1.0104E+14,1,"Wholesale and retail sale of new vehicles (passenger motor vehicles, ambulances, minibuses, jeeps, trucks, trailers and semi-trailers) ",Wholesale trade in automobiles,45101,Decile 2,INE823B01015
Country Club Hospitality & Holidays Ltd.,01-12714,1991,1.01042E+14,1,Activities of other membership organizations n.e.c.,Other membership organisation,94990,Decile 2,INE652F01027
Crisil Ltd.,11-42363,1987,1.01042E+14,1,Management consultancy activities,Business services & consultancy,70200,Decile 2,INE007A01025
D C M Ltd.,55-4,1889,1.01012E+14,1,Preparation and spinning of cotton fiber including blended* cotton,Cotton & blended yarn,13111,Decile 2,INE498A01018
D I C India Ltd.,21-15202,1947,1.01012E+14,1,Manufacture of printing ink,Printing ink,20223,Decile 2,INE303A01010
D Q Entertainment (International) Ltd.,62-53585,2007,1.01042E+14,1,"Motion picture, video and television programme production activities",Animation content provider,5911,Decile 2,INE656K01010
D-Link (India) Ltd.,24-5775,2008,1.0104E+14,1,Wholesale of computers and computer peripheral equipment,Wholesale trade in computer systems and peripherals,46511,Decile 2,INE250K01012
Dalmia Bharat Ltd.,18-58818,2006,1.01042E+14,1,Management consultancy activities,Management consultancy services,70200,Decile 2,INE439L01019
Damodar Industries Ltd.,11-45575,1987,1.01012E+14,1,Finishing of cotton and blended cotton textiles.,"Cotton & blended yarn, processed",13131,Decile 2,INE497D01014
Datar Switchgear Ltd.,11-33619,1984,1.01014E+14,1,"Manufacture of electricity distribution and control apparatus (electrical apparatus for switching or protecting electrical circuits (e.g. swicthes, fuses, voltage limiters, surge suppressors, junction boxes etc.) for a voltage exceeding 1000 volts; similar apparatus (including relays, sockets etc.) for a voltage not exceeding 1000 volts; boards, panels, consoles, cabinets and other bases equipped with two or more of the above apparatus for electricity control or distribution of electricity including power capacitors.)","Switchgears, nec",27104,Decile 2,INE060401010
Deccan Cements Ltd.,62-2500,1979,1.01013E+14,1,"Manufacture of portland cement, aluminous cement, slag cement and similar hydraulic cement",Portland slag cement,23942,Decile 2,INE583C01021
Delta Corp Ltd.,60-58817,1990,1.01042E+14,1,Other amusement and recreation activities n.e.c.,Other recreational & cultural services nec,93290,Decile 2,INE124G01033
Dhanuka Agritech Ltd.,55-20126,1985,1.01012E+14,1,Manufacture of pesticides and other agrochemical products,Pesticides,2021,Decile 2,INE435G01025
Dharani Sugars & Chemicals Ltd.,18-14454,1987,1.01011E+14,1,Manufacture or refining of sugar (sucrose) from sugarcane,Sugar,10721,Decile 2,INE988C01014
Dishman Carbogen Amcis Ltd.,04-51338,2007,1.01012E+14,1,Manufacture of Chemicals and Chemical products,Chemicals & chemical products,20,Decile 2,INE385W01011
Dixon Technologies (India) Ltd.,20-66581,1993,1.01013E+14,1,"Manufacture of televisions, television monitors and displays",Television receivers,26401,Decile 2,INE935N01012
Dollar Industries Ltd.,21-58969,1993,1.01012E+14,1,Manufacture of other knitted and crocheted apparel including hosiery,"Other garments, knitted or crocheted",14309,Decile 2,INE325C01035
Donear Industries Ltd.,11-42076,1987,1.01012E+14,1,"Weaving, manufacturing of man-made fiber and man-made mixture fabrics.",Fabrics of man-made yarn,13124,Decile 2,INE668D01028
Dr. Lal Pathlabs Ltd.,55-65388,1995,1.01042E+14,1,Hospital activities,Medical testing centres/Labs,86100,Decile 2,INE600L01024
Duncans Industries Ltd.,21-63452,1994,1.01011E+14,1,Processing and blending of tea including Manufacture of instant tea,"Tea, processed",10791,Decile 2,INE508A01022
Dunlop India Ltd.,21-8539,1926,1.02032E+14,2,Other credit granting,Other asset financing services,64920,Decile 2,INE509A01012
Dwarikesh Sugar Inds. Ltd.,20-18642,1993,1.01011E+14,1,Manufacture or refining of sugar (sucrose) from sugarcane,Sugar,10721,Decile 2,INE366A01041
Dynamatic Technologies Ltd.,Aug-08,1973,1.01015E+14,1,Manufacture of fluid power equipment,Hydraulic pumps,28120,Decile 2,INE221B01012
Easun Reyrolle Ltd.,18-6695,1974,1.01014E+14,1,Manufacture of other electronic components n.e.c,Electronic relays,26109,Decile 2,INE268C01029
Elgi Equipments Ltd.,61-351,1960,1.01014E+14,1,"Manufacture of other pumps, compressors, taps and valves etc.",Compressors,28132,Decile 2,INE285A01027
Emmsons International Ltd.,55-53060,1993,1.0104E+14,1,"Activities of commission agents, brokers dealing in wholesale trade of agricultural raw material, live animals, food, beverages, intoxicants and textiles",Wholesale trade in agricultural crops,46101,Decile 2,INE073C01015
Empee Distilleries Ltd.,18-10313,1983,1.01011E+14,1,"Manufacture of distilled, potable, alcoholic beverages such as whisky, brandy, gin, 'mixed drinks' etc.",Indian made foreign liquors,11011,Decile 2,INE180G01019
Empire Industries Ltd.,11-176,1900,1.01042E+14,1,Other non-specialised wholesale trade n.e.c.,Services,46909,Decile 2,INE515H01014
Entegra Ltd.,11-85471,1995,1.02032E+14,2,Other credit granting,Other asset financing services,64920,Decile 2,INE826A01028
Entertainment Network (India) Ltd.,11-120516,1999,1.01042E+14,1,Radio broadcasting,Radio broadcasting media,60100,Decile 2,INE265F01028
Eris Lifesciences Ltd.,04-49867,2007,1.01012E+14,1,Manufacture of other pharmaceutical and botanical products n.e.c. like hina powder etc.,"Pharmaceutical products, nec",21009,Decile 2,INE406M01024
Esab India Ltd.,18-58738,1987,1.01014E+14,1,Manufacture of other electrical equipment,Welding machinery,27900,Decile 2,INE284A01012
Ess Dee Aluminium Ltd.,21-170941,2004,1.01042E+14,1,Other non-specialised wholesale trade n.e.c.,Services,46909,Decile 2,INE825H01017
Essel Propack Ltd.,11-28947,1982,1.01012E+14,1,"Manufacture of plastic articles for the packing of goods (plastic bags, sacks, containers, boxes, cases, carboys, bottles etc.)",Plastic packaging goods,22203,Decile 2,INE255A01020
Ester Industries Ltd.,25-15063,1985,1.01012E+14,1,"Manufacture of semi-finished of plastic products (plastic plates, sheets, blocks, film, foil, strip etc.)",Polyester film,22201,Decile 2,INE778B01029
Everest Kanto Cylinder Ltd.,11-20434,1978,1.01014E+14,1,Manufacture of metal containers for compressed or liquefied gas,LPG cylinders & other gas containers,25121,Decile 2,INE184H01027
Everonn Education Ltd.,18-58466,2000,1.01042E+14,1,Higher education in engineering / other technical courses leading to a university degree or equivalent,Professional courses,85302,Decile 2,INE678H01010
Excel Crop Care Ltd.,11-12878,1964,1.01012E+14,1,Manufacture of pesticides and other agrochemical products,Pesticides,2021,Decile 2,INE223G01017
Excel Industries Ltd.,11-11807,1960,1.01012E+14,1,Manufacture of basic chemical elements,Phosphorous,20116,Decile 2,INE369A01029
Ferro Alloys Corpn. Ltd.,15-8400,1955,1.01014E+14,1,Manufacture of ferro-alloys,Ferro alloys,24104,Decile 2,INE912A01026
Fiem Industries Ltd.,55-34928,1989,1.01015E+14,1,Manufacture of electric lighting equipment,Other auto lights,27400,Decile 2,INE737H01014
Fine Organic Inds. Ltd.,11-136003,2002,1.01012E+14,1,Manufacture of organic and inorganic chemical compounds n.e.c.,Organic chemicals,20119,Decile 2,INE686Y01026
Forbes & Co. Ltd.,11-628,1919,1.01014E+14,1,Manufacture of metal-forming machinery and machine tools n.e.c,Threading or tapping machines,28229,Decile 2,INE518A01013
Fourth Dimension Solutions Ltd.,55-221111,2011,1.0104E+14,1,Wholesale of computers and computer peripheral equipment,Wholesale trade in computer systems and peripherals,46511,Decile 2,INE382T01014
Futura Polyesters Ltd.,11-11579,1960,1.01012E+14,1,Manufacture of synthetic or artificial filament staple fibre not textured,Polyester staple fibre (PSF),20302,Decile 2,INE564A01017
Future Market Networks Ltd.,11-179914,2008,1.01042E+14,1,Rental and leasing activities,Renting services,77,Decile 2,INE360L01017
Future Supply Chain Solutions Ltd.,11-160376,2006,1.01041E+14,1,Other land transport services n.e.c,Transport & allied services,52219,Decile 2,INE935Q01015
G M Breweries Ltd.,11-25809,1981,1.01011E+14,1,Manufacture of country liquor,Country liquor,11012,Decile 2,INE075D01018
G N A Axles Ltd.,16-13684,1993,1.01015E+14,1,"Manufacture of diverse parts and accessories for motor vehicles such as brakes, gearboxes, axles, road wheels, suspension shock absorbers, radiators, silencers, exhaust pipes, catalysers, clutches, steering wheels, steering columns and steering boxes etc.",Axle shafts,29301,Decile 2,INE934S01014
G O C L Corpn. Ltd.,62-876,1961,1.01012E+14,1,"Manufacture of explosives, ammunition and fire works","Detonating, safety & other fuses, igniters",20292,Decile 2,INE077F01035
G P T Infraprojects Ltd.,21-32872,1980,1.0106E+14,1,Other civil engineering projects n.e.c.,Infrastructure construction,42909,Decile 2,INE390G01014
G T P L Hathway Ltd.,04-48908,2006,1.01042E+14,1,Activities of the cable operators,Cable television broadcasting media,61103,Decile 2,INE869I01013
Gallantt Ispat Ltd.,21-101650,2005,1.01014E+14,1,"Manufacture of steel in ingots or other primary forms, and other semi- finished products of steel",Stainless steel bars & rods,24103,Decile 2,INE528K01029
Gallantt Metal Ltd.,21-101553,2005,1.01014E+14,1,Manufacture of hot-rolled and cold-rolled products of steel,Bars & rods,24105,Decile 2,INE297H01019
Gammon Infrastructure Projects Ltd.,11-131728,2001,1.0106E+14,1,Other civil engineering projects n.e.c.,Infrastructure construction,42909,Decile 2,INE181G01025
Ganesh Housing Corpn. Ltd.,04-15817,1991,1.0106E+14,1,Construction of buildings carried out on own-account basis or on a fee or contract basis,Housing real estate,41001,Decile 2,INE460C01014
Ganesha Ecosphere Ltd.,20-9090,1987,1.01012E+14,1,Manufacture of synthetic or artificial filament staple fibre not textured,Polyester staple fibre (PSF),20302,Decile 2,INE845D01014
Garware Technical Fibres Ltd.,11-18939,1976,1.01012E+14,1,Manufacture of other textiles/textile products n.e.c.,Fishing nets,13999,Decile 2,INE276A01018
Gateway Distriparks Ltd.,11-164024,1994,1.01041E+14,1,Support activities for transportation,Cargo handling,522,Decile 2,INE852F01015
Gati Ltd.,62-20121,1995,1.0104E+14,1,"Retail trade, except of motor vehicles and motorcycles",Retail trade in petroleum products,47,Decile 2,INE152B01027
Genus Power Infrastructures Ltd.,20-51997,1992,1.01015E+14,1,"Manufacture of consumption meters for electricity, water or gas, flow meters and counting meters",Meters electricity,26513,Decile 2,INE955D01029
Gillanders Arbuthnot & Co. Ltd.,21-8194,1935,1.01012E+14,1,Manufacture of man-made fibres,Man-made fibres,2030,Decile 2,INE047B01011
Ginni Filaments Ltd.,20-12550,1982,1.01012E+14,1,Finishing of cotton and blended cotton textiles.,Cotton textiles,13131,Decile 2,INE424C01010
Global Offshore Services Ltd.,11-19229,1976,1.01041E+14,1,Water transport,Water transport & allied services (Shipping),50,Decile 2,INE446C01013
Global Vectra Helicorp Ltd.,55-93225,1998,1.01041E+14,1,Passenger airways,Airline passenger services,51101,Decile 2,INE792H01019
Globus Spirits Ltd.,55-52177,1993,1.01016E+14,1,Diversified,Diversified manufacturing,34,Decile 2,INE615I01010
Glory Films Ltd.,11-112461,1997,1.01012E+14,1,"Manufacture of semi-finished of plastic products (plastic plates, sheets, blocks, film, foil, strip etc.)",Plastic film,22201,Decile 2,INE408H01012
Gloster Ltd. [Merged],21-54454,1992,1.01012E+14,1,"Finishing of jute, mesta and other vegetable textiles fabrics",Jute textiles,13135,Decile 2,INE652C01016
Gokaldas Exports Ltd.,08-33475,2004,1.01012E+14,1,"Manufacture of wearing apparel, except fur apparel",Apparels (Readymade garment),1410,Decile 2,INE887G01027
Goodluck India Ltd.,55-50910,1986,1.01014E+14,1,"Manufacture of tubes, pipes and hollow profiles and of tube or pipe fittings of cast-iron/cast-steel",Tubes & pipes,24311,Decile 2,INE127I01024
Goodricke Group Ltd.,21-31054,1977,1.01011E+14,1,Processing and blending of tea including Manufacture of instant tea,"Tea, processed",10791,Decile 2,INE300A01016
Grauer & Weil (India) Ltd.,11-10975,1957,1.01012E+14,1,"Manufacture  of  various  other  chemical  products  n.e.c.(antiknock preparations, anti-freeze preparations, liquids for hydraulic transmission, composite diagnostic or laboratory reagents, writing or drawing ink, chemical substance used in manufacturing of pesticides and other chemical products)","Chemical & chemical products, nec",20299,Decile 2,INE266D01021
Greenlam Industries Ltd.,02-11624,2013,1.01013E+14,1,Manufacture of other wood products n.e.c.,Other wood products,16299,Decile 2,INE544R01013
Gujarat Foils Ltd.,04-18570,1992,1.01014E+14,1,Manufacture of Aluminium from alumina and by other methods and products of aluminium and alloys,Aluminium foils,24202,Decile 2,INE587F01017
Gujarat Sidhee Cement Ltd.,Apr-45,1973,1.01013E+14,1,Manufacture of clinkers and cement,Cement,23941,Decile 2,INE542A01039
Gulf Oil Lubricants India Ltd.,11-267060,2008,1.01012E+14,1,"Production of liquid and gaseous fuels, illuminating oils, lubricating oils or greases or other products from crude petroleum or bituminous minerals",Grease,19201,Decile 2,INE635Q01029
Gulshan Polyols Ltd.,20-34918,2000,1.01012E+14,1,Manufacture of organic and inorganic chemical compounds n.e.c.,Sorbitol,20119,Decile 2,INE255D01024
H G Infra Engg. Ltd.,17-18049,2003,1.0106E+14,1,"Construction and maintenance of motorways, streets, roads, other vehicular and pedestrian ways, highways, bridges, tunnels and subways","Construction of roads, bridges, tunnels etc.",42101,Decile 2,INE926X01010
H M T Ltd.,08-748,1953,1.01016E+14,1,Diversified,Diversified,34,Decile 2,INE262A01018
Hanung Toys & Textiles Ltd.,55-41722,1990,1.01012E+14,1,Manufacture of other textiles n.e.c.,Other textiles,1399,Decile 2,INE648H01013
Harrisons Malayalam Ltd.,Sep-47,1978,1.01011E+14,1,"Growing of other non-perennial crops including beet seed and padding materials, n.e.c.",Agricultural products,1199,Decile 2,INE544A01019
Hawkins Cookers Ltd.,11-11304,1959,1.01013E+14,1,"Manufacture of domestic non-electric cooking and heating equipment such as non-electric space heaters, cooking ranges, grates, stoves, water heaters, cooking appliances, plate warmers",Cookers,27504,Decile 2,INE979B01015
Healthcare Global Enterprises Ltd.,08-23489,1998,1.01042E+14,1,Hospital activities,Medical & health services,86100,Decile 2,INE075I01017
Hi-Tech Gears Ltd.,17-4536,1986,1.01015E+14,1,"Manufacture of diverse parts and accessories for motor vehicles such as brakes, gearboxes, axles, road wheels, suspension shock absorbers, radiators, silencers, exhaust pipes, catalysers, clutches, steering wheels, steering columns and steering boxes etc.",Drive transmission & steering parts,29301,Decile 2,INE127B01011
Hi-Tech Pipes Ltd.,55-19750,1984,1.01014E+14,1,"Manufacture of tubes, pipes and hollow profiles and of tube or pipe fittings of cast-iron/cast-steel",Tubes & pipes,24311,Decile 2,INE106T01017
Hindustan Composites Ltd.,11-12955,1964,1.01015E+14,1,"Manufacture of diverse parts and accessories for motor vehicles such as brakes, gearboxes, axles, road wheels, suspension shock absorbers, radiators, silencers, exhaust pipes, catalysers, clutches, steering wheels, steering columns and steering boxes etc.",Brake linings,29301,Decile 2,INE310C01029
Hindustan Dorr-Oliver Ltd.,11-17644,1974,1.0106E+14,1,Construction of utility projects n.e.c.,Construction of other industrial plants,42209,Decile 2,INE551A01022
Hindusthan Urban Infrastructure Ltd.,55-3141,1959,1.01014E+14,1,"Manufacture of other electronic and electric wires and cables (insulated wire and cable made of steel, copper, aluminium)",Cables & other conductors,27320,Decile 2,INE799B01017
Honda Siel Power Products Ltd.,55-203950,1985,1.01014E+14,1,"Manufacture of other pumps, compressors, taps and valves etc.",Pumps,28132,Decile 2,INE634A01018
I C R A Ltd.,55-42749,1991,1.01042E+14,1,Management consultancy activities,Business services & consultancy,70200,Decile 2,INE725G01011
I F B Agro Inds. Ltd.,21-34590,1982,1.01012E+14,1,"Distilling, rectifying and blending of spirits",Rectified spirit,11019,Decile 2,INE076C01018
I G Petrochemicals Ltd.,24-915,1988,1.01012E+14,1,Manufacture of organic and inorganic chemical compounds n.e.c.,Phthalic anhydride,20119,Decile 2,INE204A01010
I O L Chemicals & Pharmaceuticals Ltd.,16-7030,1986,1.01012E+14,1,Manufacture of allopathic pharmaceutical preparations,Drug formulations,21002,Decile 2,INE485C01011
Igarashi Motors India Ltd.,18-21997,1992,1.01014E+14,1,Manufacture of electric motors (except internal combustion engine starting motors),"AC motors, others",27103,Decile 2,INE188B01013
Ind-Swift Ltd.,53-6897,1986,1.01012E+14,1,Manufacture of allopathic pharmaceutical preparations,Drug formulations,21002,Decile 2,INE788B01028
India Motor Parts & Accessories Ltd.,18-958,1954,1.0104E+14,1,Sale of motor vehicle parts and accessories,Wholesale trade in automobile ancillaries,45300,Decile 2,INE547E01014
