Company Name,ROC registration number,Incorporation year,Industry group code,Industry type,NIC name,Main product/service group,NIC code,Size decile,ISIN code
Aurobindo Pharma Ltd.,62-15190,1986,1.01012E+14,1,Manufacture of allopathic pharmaceutical preparations,Drug formulations,21002,Decile 1,INE406A01037
Avadh Sugar & Energy Ltd.,20-69635,2015,1.01011E+14,1,Manufacture or refining of sugar (sucrose) from sugarcane,Sugar,10721,Decile 1,INE349W01017
Avanti Feeds Ltd.,01-95778,1993,1.01011E+14,1,Manufacture of other animal feeds n.e.c.,Other animal feed,10809,Decile 1,INE871C01038
Avenue Supermarts Ltd.,11-126473,2000,1.0104E+14,1,Retail sale in non-specialized stores,Retail trade,471,Decile 1,INE192R01011
B A S F India Ltd.,Nov-72,1943,1.01016E+14,1,Diversified,Diversified,34,Decile 1,INE373A01013
B E M L Ltd.,08-1530,1964,1.01014E+14,1,"Manufacture of earth-moving machinery (bulldozers, angle-dozers, graders, scrapers, levellers, mechanical shovels, shovel loaders, off-road dumping trucks etc.)",Earth moving machinery,28243,Decile 1,INE258A01016
B G R Energy Systems Ltd.,Jan-18,1985,1.0106E+14,1,Construction of utility projects n.e.c.,Construction of other industrial plants,42209,Decile 1,INE661I01014
B L Kashyap & Sons Ltd.,55-36148,1989,1.0106E+14,1,Construction of utility projects n.e.c.,Construction of other industrial plants,42209,Decile 1,INE350H01032
B S Ltd.,62-42375,2004,1.01016E+14,1,Diversified,Diversified,34,Decile 1,INE043K01029
Bajaj Auto Ltd.,60-130076,2007,1.01015E+14,1,"Manufacture of motorcycles, scooters, mopeds etc. and their engine",Motorcycles,30911,Decile 1,INE917I01010
Bajaj Electricals Ltd.,Nov-87,1938,1.01013E+14,1,Manufacture of other domestic appliances n.e.c.,Domestic appliances (Electro-mechanical),27509,Decile 1,INE193E01025
Bajaj Hindusthan Sugar Ltd.,20-65243,1931,1.01011E+14,1,Manufacture or refining of sugar (sucrose) from sugarcane,Sugar,10721,Decile 1,INE306A01021
Balasore Alloys Ltd.,15-1354,1984,1.01014E+14,1,Manufacture of ferro-alloys,Ferro alloys,24104,Decile 1,INE135A01024
Balkrishna Industries Ltd.,11-12185,1961,1.01015E+14,1,Manufacture of rubber tyres and tubes n.e.c.,Tyres,22119,Decile 1,INE787D01026
Ballarpur Industries Ltd.,11-10337,1945,1.01015E+14,1,Manufacture of paper and paper rolls not further processed,Paper,17013,Decile 1,INE294A01037
Balmer Lawrie & Co. Ltd.,21-4835,1924,1.01016E+14,1,Diversified,Diversified,34,Decile 1,INE164A01016
Balrampur Chini Mills Ltd.,21-30118,1975,1.01011E+14,1,Manufacture or refining of sugar (sucrose) from sugarcane,Sugar,10721,Decile 1,INE119A01028
Bannari Amman Sugars Ltd.,61-1358,1983,1.01011E+14,1,Manufacture or refining of sugar (sucrose) from sugarcane,Sugar,10721,Decile 1,INE459A01010
Banswara Syntex Ltd.,17-1684,1976,1.01012E+14,1,"Weaving, Manufacture of cotton and cotton mixture fabrics.",Cotton fabrics,13121,Decile 1,INE629D01012
Bata India Ltd.,21-7261,1931,1.0104E+14,1,Retail sale of footwear,Retail trade in footwear & parts of footwear,47713,Decile 1,INE176A01028
Bayer Cropscience Ltd.,11-11173,1958,1.0104E+14,1,Wholesale of fertilizers and agrochemical products,Wholesale trade in pesticides,46692,Decile 1,INE462A01022
Berger Paints India Ltd.,21-4793,1923,1.01013E+14,1,"Manufacture of paints and varnishes, enamels or lacquers",Decorative paints,20221,Decile 1,INE463A01038
Bharat Dynamics Ltd.,62-1353,1970,1.01014E+14,1,Manufacture of other communication equipments n.e.c.,Defence communication equipment,26309,Decile 1,INE171Z01018
Bharat Electronics Ltd.,08-787,1954,1.01014E+14,1,"Manufacture of radar equipment, GPS devices, search, detection, navigation, aeronautical and nautical equipment",Strategic electronics equipment,26515,Decile 1,INE263A01024
Bharat Forge Ltd.,60-12046,1961,1.01015E+14,1,Manufacture of other attachments to motor vehicles n.e.c.,"Automobile ancillaries, nec",29209,Decile 1,INE465A01025
Bharat Heavy Electricals Ltd.,55-4281,1964,1.01014E+14,1,"Manufacture of steam generators, except central heating hot water boilers",Prime movers,2513,Decile 1,INE257A01026
Bharat Petroleum Corpn. Ltd.,Nov-31,1952,1.01012E+14,1,"Manufacture of other petroleum n.e.c. (includes Manufacture of petroleum jelly, micro-crystalline petroleum wax, slack wax, ozokerite, lignite wax, petroleum coke, petroleum bitumen and other residues of petroleum oils or of oils obtained from bituminous minerals)",Petroleum products,19209,Decile 1,INE029A01011
Bharati Defence & Infrastructure Ltd.,11-19092,1976,1.01015E+14,1,Building of ships and boats,"Ships, boats, etc.",301,Decile 1,INE673G01013
Bharti Airtel Ltd.,55-70609,1995,1.01041E+14,1,Activities of other wireless telecommunications activities,Cellular mobile phone service,61209,Decile 1,INE397D01024
Bharti Infratel Ltd.,05-73821,2006,1.01041E+14,1,"Activities of maintaining and operating pageing, cellular and other telecommunication networks",Wireless infrastructure services,61202,Decile 1,INE121J01017
Bhushan Steel Ltd.,55-14942,1983,1.01014E+14,1,Manufacture of hot-rolled and cold-rolled products of steel,"Cold rolled coils, strips, sheets",24105,Decile 1,INE824B01021
Bilcare Ltd.,60-43953,1987,1.01012E+14,1,"Manufacture of plastic articles for the packing of goods (plastic bags, sacks, containers, boxes, cases, carboys, bottles etc.)",Other plastic packaging goods,22203,Decile 1,INE986A01012
Binani Industries Ltd.,21-25584,1962,1.01041E+14,1,Other land transport services n.e.c,Transport & allied services,52219,Decile 1,INE071A01013
Biocon Ltd.,Aug-17,1978,1.01012E+14,1,Manufacture of other pharmaceutical and botanical products n.e.c. like hina powder etc.,Bio-tech base drugs,21009,Decile 1,INE376G01013
Birla Corporation Ltd.,21-3334,1919,1.01013E+14,1,Manufacture of clinkers and cement,Cement,23941,Decile 1,INE340A01012
Birla Power Solutions Ltd.,11-32773,1984,1.0104E+14,1,"Wholesale of electrical machinery, equipment and supplies, n.e.c.","Wholesale trade in generators, transformers & switchgears",46593,Decile 1,INE224B01024
Blue Dart Express Ltd.,11-61074,1991,1.01041E+14,1,Support activities for transportation,Cargo handling,522,Decile 1,INE233B01017
Blue Star Ltd.,Nov-70,1949,1.01013E+14,1,"Manufacture of domestic electric appliances such as refrigerators, washing machines, vacuum cleaners, mixers, grinders etc.","Refrigerators, air conditioners, etc.",27501,Decile 1,INE472A01039
Bombay Dyeing & Mfg. Co. Ltd.,Nov-37,1879,1.01012E+14,1,Manufacture of synthetic or artificial filament staple fibre not textured,Polyester staple fibre (PSF),20302,Decile 1,INE032A01023
Bombay Rayon Fashions Ltd.,11-66880,1992,1.01012E+14,1,"Weaving, Manufacture of cotton and cotton mixture fabrics.",Cotton fabrics,13121,Decile 1,INE589G01011
Bosch Ltd.,08-761,1951,1.01015E+14,1,"Manufacture of engines and turbines, except aircraft, vehicle and cycle engines",Automobile engine parts,2811,Decile 1,INE323A01026
Brigade Enterprises Ltd.,08-19126,1995,1.0106E+14,1,Construction of buildings carried out on own-account basis or on a fee or contract basis,Real estate,41001,Decile 1,INE791I01019
Britannia Industries Ltd.,21-2964,1918,1.01011E+14,1,"Manufacture of biscuits, cakes, pastries, rusks etc.",Biscuits,10712,Decile 1,INE216A01022
C & C Constructions Ltd.,55-80401,1996,1.0106E+14,1,"Construction and maintenance of motorways, streets, roads, other vehicular and pedestrian ways, highways, bridges, tunnels and subways","Construction of roads, bridges, tunnels etc.",42101,Decile 1,INE874H01015
C E S C Ltd.,21-31411,1978,1.0103E+14,1,Electric power generation by coal based thermal power plants,Coal-based thermal electricity,35102,Decile 1,INE486A01013
C G Power & Indl. Solutions Ltd.,Nov-41,1937,1.01014E+14,1,"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus","Generators, transformers & switchgears",2710,Decile 1,INE067A01029
Cadila Healthcare Ltd.,04-25878,1995,1.01012E+14,1,Manufacture of allopathic pharmaceutical preparations,Drug formulations,21002,Decile 1,INE010B01027
Carborundum Universal Ltd.,18-318,1954,1.01013E+14,1,"Manufacture of millstones, sharpening or polishing stones and natural or artificial abrasive products, including abrasive powder or grain on a base of textile material, paper, paper board or other material",Abrasive powder or grain on a base,23993,Decile 1,INE120A01034
Castex Technologies Ltd.,05-33789,1983,1.01014E+14,1,Manufacture of other iron and steel casting and products thereof,Castings,24319,Decile 1,INE068D01021
Castrol India Ltd.,11-21359,1979,1.01012E+14,1,"Production of liquid and gaseous fuels, illuminating oils, lubricating oils or greases or other products from crude petroleum or bituminous minerals",Lube oils & lubricants,19201,Decile 1,INE172A01027
Ceat Ltd.,11-11041,1958,1.01015E+14,1,Manufacture of rubber tyres and tubes n.e.c.,Tyres,22119,Decile 1,INE482A01020
Century Enka Ltd.,60-139075,1965,1.01012E+14,1,"Weaving, manufacturing of man-made fiber and man-made mixture fabrics.",Nylon tyre cord fabric,13124,Decile 1,INE485A01015
Century Plyboards (India) Ltd.,21-34435,1982,1.01013E+14,1,Manufacture of ply wood and veneer sheets,Plywood,16211,Decile 1,INE348B01021
Century Textiles & Inds. Ltd.,11-163,1897,1.01013E+14,1,Manufacture of clinkers and cement,Cement,23941,Decile 1,INE055A01016
Chambal Fertilisers & Chemicals Ltd.,17-3293,1985,1.0104E+14,1,Wholesale of fertilizers and agrochemical products,Wholesale trade in fertilisers,46692,Decile 1,INE085A01013
Chennai Petroleum Corpn. Ltd.,18-5389,1965,1.01012E+14,1,"Manufacture of other petroleum n.e.c. (includes Manufacture of petroleum jelly, micro-crystalline petroleum wax, slack wax, ozokerite, lignite wax, petroleum coke, petroleum bitumen and other residues of petroleum oils or of oils obtained from bituminous minerals)",Petroleum products,19209,Decile 1,INE178A01016
Cipla Ltd.,Nov-80,1935,1.01012E+14,1,Manufacture of allopathic pharmaceutical preparations,Drug formulations,21002,Decile 1,INE059A01026
Clariant Chemicals (India) Ltd.,11-10806,1956,1.01012E+14,1,Manufacture of dyes and pigments from any source in basic form or as concentrate,Dyes,20114,Decile 1,INE492A01029
Cochin Shipyard Ltd.,Sep-14,1972,1.01015E+14,1,Building of ships and boats,"Ships, boats, etc.",301,Decile 1,INE704P01017
Coffee Day Enterprises Ltd.,08-46866,2008,1.01042E+14,1,Other non-specialised wholesale trade n.e.c.,Services,46909,Decile 1,INE335K01011
Colgate-Palmolive (India) Ltd.,Nov-00,1937,1.01013E+14,1,"Manufacture of preparations for oral or dental hygiene (includes manufacture of toothpastes, toothpowder, mouthwash, oral, perfumes, dental fixative pastes and powders etc.)",Preparations for oral or dental hygiene,20235,Decile 1,INE259A01022
Compuage Infocom Ltd.,11-135914,1999,1.0104E+14,1,Wholesale of computers and computer peripheral equipment,Wholesale trade in computer systems and peripherals,46511,Decile 1,INE070C01037
Consolidated Construction Consortium Ltd.,18-38610,1997,1.0106E+14,1,Construction of utility projects n.e.c.,Construction of other industrial plants,42209,Decile 1,INE429I01024
Container Corpn. Of India Ltd.,55-30915,1988,1.01041E+14,1,Freight rail transport,Railway freight services,49120,Decile 1,INE111A01025
Core Education & Technologies Ltd.,11-35915,1985,1.01041E+14,1,Providing software support and maintenance to the clients,Software services,62013,Decile 1,INE247G01024
Coromandel International Ltd.,62-892,1961,1.01012E+14,1,Manufacture of fertilizers and nitrogen compounds,Fertilisers,2012,Decile 1,INE169A01031
Cosmo Films Ltd.,55-8355,1976,1.01012E+14,1,"Manufacture of semi-finished of plastic products (plastic plates, sheets, blocks, film, foil, strip etc.)",Biaxially oriented polypropylene (BOPP) film,22201,Decile 1,INE757A01017
Cox & Kings Ltd.,11-11352,1939,1.0104E+14,1,Travel agency activities,Travel agencies and tour operators,79110,Decile 1,INE008I01026
Crompton Greaves Consumer Electricals Ltd.,11-262254,2015,1.01013E+14,1,Manufacture of other domestic appliances n.e.c.,Domestic appliances (Electro-mechanical),27509,Decile 1,INE299U01018
Cummins India Ltd.,60-12276,1962,1.01014E+14,1,"Manufacture of engines and turbines, except aircraft, vehicle and cycle engines",Internal combustion engines,28110,Decile 1,INE298A01020
Cyient Ltd.,62-13134,1991,1.01041E+14,1,Providing software support and maintenance to the clients,Software services,62013,Decile 1,INE136B01020
D B Corp Ltd.,04-47208,1995,1.01015E+14,1,Publishing of newspapers,"Newspapers, journals & periodicals",58131,Decile 1,INE950I01011
D C M Shriram Inds. Ltd.,55-35140,1989,1.01011E+14,1,Manufacture or refining of sugar (sucrose) from sugarcane,Sugar,10721,Decile 1,INE843D01019
D C M Shriram Ltd.,55-34923,1989,1.01016E+14,1,Diversified,Diversified manufacturing,34,Decile 1,INE499A01024
D C W Ltd.,04-748,1939,1.01012E+14,1,Manufacture of Chemicals and Chemical products,Chemicals & chemical products,20,Decile 1,INE500A01029
D L F Ltd.,May-84,1963,1.0106E+14,1,Construction of buildings carried out on own-account basis or on a fee or contract basis,Real estate,41001,Decile 1,INE271C01023
D S Kulkarni Developers Ltd.,60-63340,1991,1.0106E+14,1,Construction of buildings carried out on own-account basis or on a fee or contract basis,Housing real estate,41001,Decile 1,INE891A01014
Dabur India Ltd.,55-7908,1975,1.01013E+14,1,"Manufacture of hair oil, shampoo, hair dye etc. (includes Manufacture of shampoos, hair sprays, hair fixers, hair oils, hair creams, hair dyes and bleaches and preparations for permanent waving or straightening of the hair etc.)",Hair oil,20236,Decile 1,INE016A01026
Dalmia Bharat Sugar & Inds. Ltd.,18-640,1951,1.01011E+14,1,Manufacture or refining of sugar (sucrose) from sugarcane,Sugar,10721,Decile 1,INE495A01022
Deepak Fertilisers & Petrochemicals Corpn. Ltd.,11-21360,1979,1.0104E+14,1,"Wholesale of industrial chemicals,",Wholesale trade in chemicals & chemical products,46691,Decile 1,INE501A01019
Deepak Nitrite Ltd.,04-1735,1970,1.01012E+14,1,Manufacture of Chemicals and Chemical products,Chemicals & chemical products,20,Decile 1,INE288B01029
Den Networks Ltd.,55-165673,2007,1.01042E+14,1,Activities of the cable operators,Cable television broadcasting media,61103,Decile 1,INE947J01015
Denso India Pvt. Ltd.,55-19375,1984,1.01015E+14,1,"Manufacture of motor vehicle electrical equipment, such as generators, alternators, spark plugs, ignition wiring harnesses, power window and door systems, assembly of purchased gauges into instrument panels, voltage regulators, etc.",Generators for automobiles,29304,Decile 1,INE502A01017
Dhampur Sugar Mills Ltd.,20-511,1933,1.01011E+14,1,Manufacture or refining of sugar (sucrose) from sugarcane,Sugar,10721,Decile 1,INE041A01016
Dhunseri Petrochem Ltd.,21-2697,1916,1.0104E+14,1,Wholesale of plastic materials in primary forms,Wholesale trade in plastics in primary forms,46693,Decile 1,INE477B01010
Diamond Power Infrastructure Ltd.,04-18198,1992,1.01014E+14,1,"Manufacture of other electronic and electric wires and cables (insulated wire and cable made of steel, copper, aluminium)",Cables & other conductors,27320,Decile 1,INE989C01012
Dilip Buildcon Ltd.,10-18689,2006,1.0106E+14,1,Other civil engineering projects n.e.c.,Industrial & infrastructural construction,42909,Decile 1,INE917M01012
Dish T V India Ltd.,11-287553,1988,1.01042E+14,1,Activities of the cable operators,Cable television broadcasting media,61103,Decile 1,INE836F01026
Divi'S Laboratories Ltd.,62-11854,1990,1.01012E+14,1,"Manufacture of pharmaceuticals, medicinal chemical and botanical products","Drugs, medicines & allied products",2100,Decile 1,INE361B01024
Dr. Datsons Labs Ltd.,11-158589,2006,1.01012E+14,1,Manufacture of allopathic pharmaceutical preparations,Drug formulations,21002,Decile 1,INE928K01013
Dr. Reddy'S Laboratories Ltd.,62-4507,1984,1.01012E+14,1,Manufacture of allopathic pharmaceutical preparations,Drug formulations,21002,Decile 1,INE089A01023
Dredging Corpn. Of India Ltd.,55-8129,1976,1.01041E+14,1,Service activities incidental to water transportation,Other shipping infrastructure,52220,Decile 1,INE506A01018
E I D-Parry (India) Ltd.,18-6989,1975,1.01011E+14,1,Manufacture or refining of sugar (sucrose) from sugarcane,Sugar,10721,Decile 1,INE126A01031
E I H Ltd.,21-17981,1949,1.0104E+14,1,"Hotels and Motels, inns, resorts providing short term lodging facilities; includes accommodation in house boats","Hotels, resorts & restaurants",55101,Decile 1,INE230A01023
Eclerx Services Ltd.,11-125319,2000,1.01041E+14,1,Other information service activities n.e.c.,Information technology enabled service/BPO,63999,Decile 1,INE738I01010
Educomp Solutions Ltd.,55-61353,1994,1.01042E+14,1,Education,Education,85,Decile 1,INE216H01027
Eicher Motors Ltd.,55-129877,1982,1.01015E+14,1,"Manufacture of motorcycles, scooters, mopeds etc. and their engine",Motorcycles,30911,Decile 1,INE066A01013
Elecon Engineering Co. Ltd.,04-1082,1960,1.01014E+14,1,"Manufacture of bearings, gears, gearing and driving elements",Gears,28140,Decile 1,INE205B01023
Electrosteel Castings Ltd.,15-310,1955,1.01014E+14,1,"Manufacture of tubes, pipes and hollow profiles and of tube or pipe fittings of cast-iron/cast-steel",Spun pipes,24311,Decile 1,INE086A01029
Electrosteel Steels Ltd.,27-12663,2006,1.01014E+14,1,Manufacture of hot-rolled and cold-rolled products of steel,Bars & rods,24105,Decile 1,INE481K01021
Electrotherm (India) Ltd.,Apr-26,1986,1.01014E+14,1,Manufacture of basic iron and steel,Ferrous metals & products,2410,Decile 1,INE822G01016
Emami Ltd.,21-36030,1983,1.01012E+14,1,Manufacture of 'ayurvedic' or 'unani' pharmaceutical preparation,Ayurvedic & unani medicaments,21003,Decile 1,INE548C01032
Emami Paper Mills Ltd.,21-34161,1981,1.01015E+14,1,Manufacture of paper and paper rolls not further processed,Paper,17013,Decile 1,INE830C01026
Emco Ltd.,11-13011,1964,1.01014E+14,1,"Manufacture of metal frameworks or skeletons for construction and parts thereof ((towers, masts, trusses, bridges etc.)","Heavy structurals (Bridges & bridge sect, towers, lattice masts, angles, shape",25112,Decile 1,INE078A01026
Endurance Technologies Ltd.,11-123296,1999,1.01015E+14,1,Manufacture of parts and accessories for motor vehicles,Automobile ancillaries,2930,Decile 1,INE913H01037
Engineers India Ltd.,55-4352,1965,1.0106E+14,1,Construction of utility projects n.e.c.,Construction of other industrial plants,42209,Decile 1,INE510A01028
Eros International Media Ltd.,11-80502,1994,1.01042E+14,1,Production of motion picture,"Motion picture production, distribution & exhibition",59111,Decile 1,INE416L01017
